DMS_id,n,q99_count,safe,use
SPG1_STRSG_Olson_2014,536962,5370,1,1
HIS7_YEAST_Pokusaeva_2019,496137,4962,1,1
PHOT_CHLRE_Chen_2023,167529,1676,1,1
SPG1_STRSG_Wu_2016,149360,1494,1,1
GRB2_HUMAN_Faure_2021,63366,634,1,1
GFP_AEQVI_Sarkisyan_2016,51714,518,1,1
CAPSD_AAV2S_Sinai_2021,42328,424,1,1
PABP_YEAST_Melamed_2013,37708,378,1,1
Q8WTC7_9CNID_Somermeyer_2022,33510,336,1,1
Q6WV12_9MAXI_Somermeyer_2022,31401,315,1,1
RASK_HUMAN_Weng_2022_abundance,26012,261,1,1
RASK_HUMAN_Weng_2022_binding-DARPin_K55,24873,249,1,1
D7PM05_CLYGR_Somermeyer_2022,24515,246,1,1
POLG_DEN26_Suphatrakul_2023,16897,169,1,1
HMDH_HUMAN_Jiang_2019,16853,169,1,1
MSH2_HUMAN_Jia_2020,16749,172,1,1
POLG_CXB3N_Mattenberger_2021,15711,158,1,1
A4_HUMAN_Seuma_2022,14811,149,1,1
A4D664_9INFA_Soh_2019,14421,145,1,1
HSP82_YEAST_Flynn_2019,13294,133,1,1
ENV_HV1BR_Haddox_2016,12863,129,1,1
Q2N0S5_9HIV1_Haddox_2018,12729,128,1,1
A0A192B1T2_9HIV1_Haddox_2018,12577,126,1,1
MTHR_HUMAN_Weile_2021,12464,125,1,1
RDRP_I33A0_Li_2023,12003,121,1,1
SC6A4_HUMAN_Young_2021,11576,116,1,1
SHOC2_HUMAN_Kwon_2022,10972,110,1,1
C6KNH7_9INFA_Lee_2018,10754,108,1,1
A0A2Z5U3Z0_9INFA_Doud_2016,10715,108,1,1
S22A1_HUMAN_Yee_2023_activity,10094,101,1,1
YAP1_HUMAN_Araya_2012,10075,101,1,1
S22A1_HUMAN_Yee_2023_abundance,9803,99,1,1
A0A140D2T1_ZIKV_Sourisseau_2019,9576,96,1,1
PPARG_HUMAN_Majithia_2016,9576,96,1,1
I6TAH8_I68A0_Doud_2015,9462,95,1,1
NCAP_I34A1_Doud_2015,9462,95,1,1
F7YBW8_MESOW_Aakre_2015,9192,92,1,1
PRKN_HUMAN_Clausen_2023,8756,88,1,1
HXK4_HUMAN_Gersing_2022_activity,8570,86,1,1
HXK4_HUMAN_Gersing_2023_abundance,8396,84,1,1
CAS9_STRP1_Spencer_2017_positive,8117,82,1,1
F7YBW8_MESOW_Ding_2023,7922,80,1,1
LGK_LIPST_Klesmith_2015,7890,80,1,1
PPM1D_HUMAN_Miller_2022,7889,79,1,1
ADRB2_HUMAN_Jones_2020,7800,78,1,1
P53_HUMAN_Giacomelli_2018_Null_Etoposide,7467,75,1,1
P53_HUMAN_Giacomelli_2018_Null_Nutlin,7467,75,1,1
P53_HUMAN_Giacomelli_2018_WT_Nutlin,7467,75,1,1
PTEN_HUMAN_Mighell_2018,7260,73,1,1
CBS_HUMAN_Sun_2020,7217,73,1,1
DLG4_HUMAN_Faure_2021,6976,70,1,1
KCNJ2_MOUSE_Coyote-Maestas_2022_function,6963,70,1,1
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,6917,70,1,1
MK01_HUMAN_Brenan_2016,6809,69,1,1
