DMS_id,n,hard_score
CCDB_ECOLI_Tripathi_2016,1663,13230.457571329514
SPG1_STRSG_Wu_2016,149360,5.54136712583703
DLG4_HUMAN_Faure_2021,6976,3.518682101619736
PHOT_CHLRE_Chen_2023,167529,3.2024980927822027
RASK_HUMAN_Weng_2022_binding-DARPin_K55,24873,2.6541154262191444
HIS7_YEAST_Pokusaeva_2019,496137,2.5032899178973835
AMFR_HUMAN_Tsuboyama_2023_4G3O,2972,2.3447097917900113
Q8WTC7_9CNID_Somermeyer_2022,33510,2.2321897005754625
SDA_BACSU_Tsuboyama_2023_1PV0,2770,2.228508603444139
F7YBW8_MESOW_Ding_2023,7922,2.15599471052593
RASK_HUMAN_Weng_2022_abundance,26012,2.127508544505935
SPTN1_CHICK_Tsuboyama_2023_1TUD,3201,2.022325213890925
A4_HUMAN_Seuma_2022,14811,2.0088270081519535
TCRG1_MOUSE_Tsuboyama_2023_1E0L,1058,1.8957712473142547
ISDH_STAAW_Tsuboyama_2023_2LHR,1944,1.879931499089249
POLG_PESV_Tsuboyama_2023_2MXD,5130,1.871388127155066
D7PM05_CLYGR_Somermeyer_2022,24515,1.841674216340516
CBX4_HUMAN_Tsuboyama_2023_2K28,2282,1.8299353215406753
CSN4_MOUSE_Tsuboyama_2023_1UFM,3295,1.8021214614800365
YAIA_ECOLI_Tsuboyama_2023_2KVT,1890,1.794221378513119
