DMS_id,n
SPG1_STRSG_Olson_2014,536962
HIS7_YEAST_Pokusaeva_2019,496137
PHOT_CHLRE_Chen_2023,167529
SPG1_STRSG_Wu_2016,149360
GRB2_HUMAN_Faure_2021,63366
GFP_AEQVI_Sarkisyan_2016,51714
CAPSD_AAV2S_Sinai_2021,42328
PABP_YEAST_Melamed_2013,37708
Q8WTC7_9CNID_Somermeyer_2022,33510
Q6WV12_9MAXI_Somermeyer_2022,31401
RASK_HUMAN_Weng_2022_abundance,26012
RASK_HUMAN_Weng_2022_binding-DARPin_K55,24873
D7PM05_CLYGR_Somermeyer_2022,24515
POLG_DEN26_Suphatrakul_2023,16897
HMDH_HUMAN_Jiang_2019,16853
MSH2_HUMAN_Jia_2020,16749
POLG_CXB3N_Mattenberger_2021,15711
A4_HUMAN_Seuma_2022,14811
A4D664_9INFA_Soh_2019,14421
HSP82_YEAST_Flynn_2019,13294
