method,top1_success,top10_hits,best_percentile,normalized_regret,unique_loci,invalid_action_rate,cost_usd
cider_fixed,0.4,9.45,97.63553985711515,0.44361713211983445,10.95,0.0,0.0
cider_gpt_oss_20b,0.4,9.45,97.63553985711515,0.44361713211983445,10.95,0.0,0.0
cider_qwen35_4b,0.4,9.45,97.63553985711515,0.44361713211983445,10.95,0.0,0.0
cider_qwen3_8b,0.4,9.45,97.63553985711515,0.44361713211983445,10.95,0.0,0.0
ei,0.4,9.45,97.63553985711515,0.44361713211983445,10.95,0.0,0.0
folde_lite,0.4,9.45,97.63553985711515,0.44361713211983445,10.95,0.0,0.0
plm_diverse,0.45,8.75,98.85961660795707,0.38787747552851215,19.55,0.0,0.0
plm_greedy,0.45,9.75,97.0278568807946,0.4201209146529436,12.15,0.0,0.0
prior_first_al,0.45,9.75,97.0278568807946,0.4201209146529436,12.15,0.0,0.0
random,0.43333333333333335,7.733333333333333,98.08547611465868,0.4164426378168476,30.666666666666668,0.0,0.0
thompson,0.4,9.45,97.63553985711515,0.44361713211983445,10.95,0.0,0.0
ucb,0.4,9.45,97.63553985711515,0.44361713211983445,10.95,0.0,0.0
